pc1,pc2,cluster,title
-0.17298284,-0.045479245,0,Information Management Analysts
-0.12676181,-0.090724155,0,Production Data Analysts
-0.15800956,-0.001612572,0,Quantitative Analytics Managers
-0.109559014,-0.050954,0,Data Analysts
-0.24198408,-0.29154402,0,Analytics Engineers
-0.04533329,-0.15490268,0,Enterprise Architects
-0.1641909,-0.082510464,0,Data Analysts
-0.14319336,-0.11873735,0,Data Analyst Consultants
-0.04686597,-0.18704231,0,Data Modelers
-0.0978902,-0.11973532,0,Data Analytics Architects
-0.30191183,-0.25445643,0,Data Analytics Engineers
-0.01951471,0.009658255,0,Test Data Analysts
0.056604836,-0.128255,0,Oracle SOA Consultants
0.006565053,-0.12316161,0,Data Modelers
-0.18070813,0.020542325,0,Data Quality Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.19109546,-0.044599265,0,Data Governance Analysts
-0.23049088,-0.120942086,0,Data Modelers
-0.20959477,-0.052162923,0,Data Warehouse Analysts
-0.13441896,-0.06956486,0,Data Analysts
-0.14131404,-0.03238468,0,Data Analyst Managers
-0.009408452,-0.07494713,0,Heads of Data
-0.16764888,-0.20503324,0,Business Intelligence Managers
-0.2806887,-0.16272007,0,Data Analysts
-0.06976439,-0.2443264,0,Data Modelers
-0.09877953,-0.2724553,0,Data Analysts
-0.038333997,-0.15013427,0,Data Analytics Analysts
-0.106143504,-0.018886898,0,Data Analysts
-0.12260729,0.00075590424,0,Data Analysts
-0.025674209,-0.08036229,0,Data Quality Analysts
-0.04350763,-0.16961218,0,Technical Data Analysts
-0.08080709,-0.12235072,0,Supply Chain Analysts
-0.3315714,-0.27496746,0,Business Intelligence Managers
-0.1983618,-0.14862071,0,Lead Data Analysts
-0.07143748,-0.15386753,0,Google Cloud Architects
0.05246962,-0.2181007,0,Unclassified
-0.30417812,-0.2861424,0,Data Analytics Associates
-0.08027972,-0.015978612,0,Data Quality Leads
-0.12676181,-0.090724155,0,Production Data Analysts
-0.24140339,-0.26527473,0,Analytics Engineers
-0.17870685,-0.25992855,0,Facets Consultants
0.033218548,-0.056530796,0,Oracle Architects
-0.16382898,-0.17148255,0,Data Engineers
-0.11787109,-0.15985887,0,Enterprise Consultants
-0.2380292,-0.08244352,0,Data Intelligence Analysts
-0.09508082,-0.25444233,0,Data Analysts
0.041576333,0.08139724,0,Title Analysts
-0.056388192,-0.16984923,0,Data Modelers
-0.08041188,-0.23119545,0,People Analytics Managers
-0.19688629,-0.3259779,0,Data Analytics Engineers
-0.10935256,-0.20564544,0,Agile Developers
-0.096974134,-0.10768947,0,Product Data Analysts
-0.061146304,-0.33557296,0,Enterprise Data Architects
-0.13233854,0.039228305,0,Children's Services Managers
-0.09628685,-0.2310328,0,Unclassified
-0.30191183,-0.25445643,0,Data Analytics Engineers
0.0074708834,-0.10470316,0,Lead Information Architects
-0.23478828,-0.09137834,0,Data Engineers
-0.0481871,0.038487248,0,Metadata Analysts
-0.10013658,-0.14555475,0,Data Quality Analysts
-0.0070545897,-0.13129634,0,Data Analysts/Developers
-0.038333997,-0.15013427,0,Data Analytics Analysts
-0.32309014,-0.2434816,0,Data Analysts
0.003963042,-0.22606055,0,Metadata Analysts
-0.15920685,-0.11477644,0,MDM Analysts
-0.13559565,-0.099976,0,Principals
-0.15705553,-0.007097124,0,Data Analysts
-0.17382178,-0.21772963,0,Data Analysts
-0.1630895,-0.25056708,0,Data Modelers
-0.012714244,-0.10258462,0,Data Analytics Consultants
-0.043158643,0.074419,0,Data Quality Analysts
0.02376673,-0.10607312,0,Data Analyst Managers
-0.041235603,-0.13396697,0,Data Analysts
0.02901087,-0.14890066,0,Expert Business Analysts
-0.20959477,-0.052162923,0,Data Warehouse Analysts
-0.21729593,-0.24913523,0,Data Analytics Engineers
-0.19109546,-0.044599265,0,Data Governance Analysts
-0.20851524,-0.17085966,0,Business Intelligence Analysts
-0.112541094,-0.25923347,0,Data Modelers
-0.22885473,-0.22578828,0,Data Analysts
-0.1738188,-0.2428151,0,Enterprise Data Architects
-0.1733614,-0.06314698,0,Data Analysts
-0.3720718,-0.28458557,0,Data Analysts
-0.30191183,-0.25445643,0,Data Analytics Engineers
0.015199013,-0.025459949,0,Data Governance Analysts
-0.01482667,-0.08933659,0,Master Data Managers
-0.14980829,-0.030012537,0,Data Quality Analysts
-0.06074825,-0.06266993,0,Data Modelers
-0.21107419,-0.24907628,0,Enterprise Data Analysts
0.00015752763,-0.13023412,0,SAP Techno Functional Consultants
-0.1733614,-0.06314698,0,Data Analysts
-0.052377924,-0.2896187,0,Enterprise Data Architects
-0.038692057,-0.10380242,0,Data Analysts
-0.054117404,-0.13521454,0,Data Analysts
0.035915926,-0.044966657,0,Data Governance Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.09742232,-0.13237132,0,Data Modelers
-0.2605688,-0.26163462,0,Cloud Data Architects
-0.23007752,-0.090539135,0,Data Warehouse Analysts
-0.13460435,-0.14292665,0,Data Modelers
-0.19278042,-0.25004688,0,Lead Data Modelers
-0.06708306,-0.0010131495,0,Data Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
0.05246962,-0.2181007,0,SAP BODS Consultants
-0.26388788,-0.28383815,0,Directors of Data Analytics
-0.24473284,-0.102185346,0,Data Analysts
-0.30632174,-0.31469753,0,Data and Analytics Consultants
-0.0729828,-0.027748264,0,Master Data Management Analysts
-0.099304914,-0.25124204,0,Enterprise Data Analysts
-0.10646084,-0.061093375,0,Data and Analytics Managers
0.009643786,0.00546572,0,Data Management Associates
-0.03481868,-0.10201849,0,Data Quality Analysts
0.008527249,-0.31211945,0,Unclassified
-0.18870874,-0.11578961,0,Market Data Analysts
-0.14761737,-0.31490463,0,Data Governance Analysts
-0.344819,-0.27773654,0,Data Analytics Engineers
-0.32235742,-0.31415978,0,Data Analytics Product Managers
-0.1256667,-0.19609435,0,Lead Data Modelers
-0.15920685,-0.11477644,0,MDM Analysts
0.0077493303,0.046439826,0,Data Governance Analysts
0.00064225495,-0.1635983,0,Oracle Functional Consultants
-0.098847196,-0.14646697,0,Data Quality Analysts
-0.23049088,-0.120942086,0,Lead Data Modelers
-0.1531742,-0.1071514,0,Engineer Planning Analysts
-0.0119404495,-0.033125065,0,EDI Administrators
-0.024028666,-0.13561375,0,Data Governance Analysts
-0.043190293,-0.2011108,0,Master Data Analysts
-0.025674209,-0.08036229,0,Data Quality Analysts
-0.11787109,-0.15985887,0,Enterprise Consultants
-0.1229649,-0.30436555,0,Data Analytics Leads
-0.076193586,-0.205627,0,Data Modelers
-0.096664235,-0.13240631,0,Data Governance Analysts
-0.1740558,-0.18907493,0,Data Analysts
-0.2813208,-0.1701823,0,Expert Witnesses
-0.30552137,-0.031883106,0,Data Strategists
-0.062714875,-0.09433839,0,Data Analytics Managers
-0.17061153,-0.1821553,0,Data Modelers
-0.344819,-0.27773654,0,Data Analytics Engineers
-0.2354997,-0.19176477,0,Data Analysts
0.028382141,-0.10160047,0,Data Architects
-0.116371125,-0.21380882,0,Data Warehouse Specialists
-0.12784182,-0.019768294,0,Data Visualization Analysts
-0.13161351,0.01793178,0,Unclassified
0.014248248,-0.074716076,0,Data Stewards
-0.057057574,-0.07118857,0,Assistant Vice Presidents
-0.14684056,0.01057619,0,Data Management Analysts
0.014273431,-0.042573445,0,OFSAA Business Analysts
-0.13276409,-0.29646158,0,Data Modelers
-0.16353585,-0.16123478,0,Data Analysts
-0.16634193,-0.18812326,0,Data Analysts
-0.15088037,-0.25139907,0,Data Warehouse Analysts
